LaboratoryName,LaboratoryType,LIMSType,Comments
Construction Sciences Pty Ltd,External,Comply - In House,All Construction Sciences Laboratory
ASCT Sydney,External,Xcel Based (In-House),All ASCT Laboratories
ASCT Illawara,External,Xcel Based (In-House),
ASCT Northern Rivers,External,Xcel Based (In-House),
Douglas Partners,External,Geotester,
Rose Testing Pty Ltd,External,Geotester,
ADE Consulting,External,Geotester,
Coffey Testing Pty Ltd,External,Geotester/SpectraQEST,
K&H Geotechnical,External,SpectraQEST,Looking to transfer to Geotester
Robert Carr & Associates,External,Geotester,
Ground Technologies,External,Geotester,
AMB Geotech SQS Pty Ltd,External,Geotester,
Alliance Geotechnical Pty Ltd,External,Geotester,
Ballina Laboratory,Internal,Geotester,
Grafton Laboratory,Internal,Geotester,
Tamworth Laboratory,Internal,Geotester,
Port Macquarie Laboratory,Internal,Geotester,
Russell Vale Laboratory,Internal,Geotester,
Bega Laboratory,Internal,Geotester,
Bowenfels Laboratory,Internal,Geotester,
Parkes Laboratory,Internal,Geotester,
Hunter Region Laboratory,Internal,Geotester,
Wagga Wagga Regional Laboratory,Internal,Geotester,
B2GH Annex,Internal,Geotester,
